Year,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1960,0.1785,0.1062,0.0873,1.0627,0.1335,0.0341,0.0450,0.7795,0.1698,0.2993,0.1505,0.3160,0.1992,0.1908,0.1618,0.1752,0.0716,0.0746,0.2057,0.8080,0.1608,0.1221,0.3299,0.1866,0.3069,0.0933,0.2395,0.0323,0.1392,0.0977,0.0225,0.3918,0.2838,0.1871,0.2027,0.2636,0.0035,0.1662,0.1016,0.0923,0.4851,0.0693,0.1806,0.0785,0.7055,0.1174,0.0795,0.0908
1961,0.2470,0.1674,0.0982,1.0943,0.1327,0.0342,0.0493,0.7448,0.2132,0.3466,0.1591,0.3792,0.2212,0.2049,0.1980,0.2144,0.0681,0.0884,0.1983,0.7825,0.2272,0.1447,0.4424,0.2410,0.3525,0.1131,0.2410,0.0309,0.1438,0.1047,0.0226,0.4025,0.2932,0.2861,0.2389,0.2609,0.0035,0.2101,0.1226,0.1234,0.6750,0.0728,0.1994,0.0839,0.8587,0.1398,0.0906,0.0920
1962,0.3142,0.2550,0.1074,1.1087,0.1304,0.0319,0.0501,0.7829,0.2768,0.3781,0.1681,0.4312,0.2291,0.2020,0.2330,0.2783,0.0600,0.1016,0.1780,0.6944,0.2926,0.1688,0.5928,0.2719,0.3985,0.1323,0.2263,0.0268,0.1351,0.1117,0.0190,0.3841,0.2799,0.3250,0.2580,0.2283,0.0033,0.2551,0.1373,0.1582,0.8562,0.0675,0.2154,0.0863,0.9909,0.1543,0.1004,0.0880
1963,0.3223,0.2727,0.1096,1.0367,0.1261,0.0262,0.0472,0.6677,0.3137,0.3876,0.1688,0.4616,0.2611,0.1929,0.2561,0.3107,0.0452,0.1031,0.1327,0.5514,0.3533,0.1890,0.7717,0.2741,0.3879,0.1534,0.2231,0.0209,0.1138,0.1024,0.0145,0.3358,0.2647,0.3722,0.2482,0.1910,0.0028,0.2715,0.1469,0.1759,1.0218,0.0498,0.2077,0.0782,1.2769,0.1703,0.1163,0.0805
1964,0.4041,0.3409,0.1183,1.0313,0.1227,0.0218,0.0462,0.7023,0.3582,0.4117,0.1809,0.5162,0.2310,0.2098,0.2642,0.3780,0.0316,0.1170,0.1003,0.4520,0.4157,0.2131,0.8697,0.3160,0.4338,0.1846,0.2109,0.0138,0.1008,0.0999,0.0110,0.2931,0.2665,0.4314,0.2735,0.1583,0.0023,0.3242,0.1737,0.2171,1.0874,0.0402,0.2280,0.0784,1.4662,0.1797,0.1071,0.0719
1965,0.3637,0.3284,0.1268,0.9508,0.1242,0.0236,0.0478,0.6812,0.3905,0.5168,0.1208,0.6794,0.2733,0.2311,0.2504,0.3023,0.0359,0.1043,0.0993,0.4697,0.4870,0.2657,0.5642,0.2635,0.4714,0.1568,0.2872,0.0161,0.0933,0.1063,0.0117,0.3403,0.2944,0.3570,0.2856,0.1754,0.0028,0.2954,0.2141,0.2000,0.9946,0.0318,0.2029,0.0588,1.5206,0.2229,0.1049,0.0776
1966,0.3273,0.3750,0.1501,0.9810,0.1347,0.0255,0.0529,0.7589,0.4600,0.7911,0.1571,0.9442,0.4168,0.3092,0.2244,0.2767,0.0368,0.0865,0.0898,0.5727,0.6116,0.3462,0.6049,0.2760,0.5076,0.2058,0.3948,0.0184,0.0970,0.1281,0.0169,0.3359,0.3869,0.3317,0.2833,0.2048,0.0034,0.2647,0.2949,0.1717,1.0206,0.0413,0.2201,0.0407,1.1114,0.2925,0.0873,0.0815
1967,0.4044,0.5262,0.2342,1.5198,0.1696,0.0406,0.0703,1.2767,0.6084,0.9781,0.2359,1.2306,0.5281,0.4044,0.2363,0.4044,0.0514,0.1007,0.1098,0.7282,0.7670,0.4623,0.9159,0.3762,0.6262,0.3398,0.5333,0.0224,0.1558,0.1549,0.0295,0.4413,0.5159,0.3565,0.3968,0.2543,0.0049,0.3324,0.3128,0.2224,1.4510,0.0942,0.2841,0.0452,1.6731,0.3699,0.1010,0.1034
1968,0.3768,0.4968,0.2813,1.7623,0.1496,0.0354,0.0573,1.4793,0.4780,1.0741,0.2805,1.3872,0.5577,0.4069,0.2288,0.3936,0.0513,0.1033,0.1135,0.6971,0.7903,0.5005,1.0114,0.3206,0.5617,0.3428,0.5508,0.0181,0.1389,0.1108,0.0208,0.4614,0.5341,0.3269,0.3493,0.2467,0.0049,0.3466,0.2455,0.2077,1.4410,0.0544,0.2733,0.0412,1.5271,0.3711,0.0811,0.0842
1969,0.3616,0.5250,0.3295,1.9081,0.1526,0.0420,0.0516,1.8351,0.5990,1.2267,0.2828,1.5907,0.6085,0.4625,0.1954,0.5263,0.0510,0.1024,0.1124,0.8252,0.8300,0.5420,1.0754,0.2971,0.6169,0.3157,0.5951,0.0191,0.1488,0.0727,0.0180,0.5339,0.5463,0.3215,0.4575,0.2533,0.0060,0.3462,0.1820,0.2068,1.4239,0.0404,0.2789,0.0355,2.0837,0.3856,0.0569,0.0739
1970,0.4409,0.5810,0.3566,2.0164,0.1701,0.0391,0.0570,1.6855,0.6000,1.3405,0.3016,1.5705,0.6153,0.4989,0.2179,0.6019,0.0503,0.1224,0.1258,0.8315,0.9246,0.6136,1.2921,0.3804,0.6522,0.3883,0.6843,0.0160,0.1462,0.0878,0.0168,0.4980,0.5405,0.3617,0.4033,0.2697,0.0053,0.3932,0.2112,0.2396,1.5090,0.0402,0.2945,0.0412,1.4588,0.4229,0.0571,0.0741
1971,0.4460,0.6570,0.3856,2.2749,0.1927,0.0379,0.0593,1.8283,0.6278,1.5586,0.3094,1.9820,0.7619,0.5962,0.2833,0.7231,0.0466,0.1484,0.1416,0.9460,1.1160,0.6917,1.7137,0.4677,0.6291,0.4936,0.7668,0.0153,0.1535,0.0878,0.0184,0.5348,0.6541,0.3806,0.4201,0.2948,0.0049,0.4589,0.2448,0.2785,1.6429,0.0445,0.3036,0.0480,1.4647,0.4823,0.0525,0.0785
1972,0.5272,0.7391,0.4645,2.7489,0.2168,0.0400,0.0663,1.9588,0.7318,1.8004,0.3601,2.2012,0.9619,0.7187,0.3613,0.8432,0.0505,0.1730,0.1540,1.0380,1.2832,0.8401,1.7893,0.5682,0.7864,0.5610,0.9003,0.0164,0.1422,0.1449,0.0235,0.5777,0.8288,0.4578,0.5461,0.3274,0.0050,0.5076,0.2976,0.3362,1.8797,0.0554,0.3649,0.0539,1.5799,0.5455,0.0606,0.0880
1973,0.5442,0.7276,0.4277,2.6253,0.2329,0.0396,0.0721,1.8397,0.7494,1.7829,0.3544,2.4725,0.9614,0.7338,0.3619,0.8755,0.0487,0.1829,0.1514,1.1343,1.2586,0.8077,2.0175,0.5952,0.8538,0.6247,0.8657,0.0173,0.1491,0.1198,0.0234,0.5732,0.8243,0.4997,0.5935,0.3492,0.0050,0.5025,0.3094,0.3449,2.1981,0.0590,0.3693,0.0549,1.7045,0.5710,0.0534,0.0943
1974,0.5832,0.7254,0.4567,2.9826,0.2268,0.0412,0.0732,1.6187,0.8011,1.8745,0.3908,2.4423,1.0321,0.7359,0.3877,0.8991,0.0488,0.2101,0.1567,1.1087,1.3141,0.8768,2.0754,0.5728,0.8467,0.7100,0.9268,0.0187,0.1378,0.1220,0.0232,0.5738,0.8687,0.4841,0.6989,0.3505,0.0051,0.5413,0.3452,0.3841,1.7865,0.0588,0.3786,0.0606,2.0085,0.5889,0.0582,0.0984
1975,0.6119,0.7668,0.5022,3.5487,0.2457,0.0406,0.0857,1.7411,0.8227,2.0324,0.3643,2.6672,1.0769,0.7772,0.4613,0.7394,0.0497,0.2126,0.1458,1.1265,1.3873,0.9323,2.2791,0.4818,0.9239,0.7511,0.9683,0.0181,0.1422,0.1182,0.0197,0.5777,1.0674,0.5452,0.6248,0.3955,0.0048,0.5226,0.4148,0.4282,1.9949,0.0612,0.4114,0.0591,1.6369,0.6504,0.0675,0.0776
1976,0.7604,0.9273,0.6023,3.7767,0.3042,0.0418,0.0996,1.8870,1.0371,2.3370,0.4244,3.0396,1.2589,0.9703,0.5162,1.1963,0.0527,0.2865,0.1836,1.2748,1.7428,1.1313,2.9071,0.6210,1.0688,0.9143,1.2605,0.0191,0.1459,0.1339,0.0248,0.6248,1.1981,0.6434,0.7206,0.4309,0.0050,0.6692,0.5592,0.5390,2.5152,0.0765,0.4850,0.0778,1.9127,0.8173,0.0804,0.0926
1977,0.6532,0.7888,0.5166,3.4533,0.2689,0.0375,0.0978,1.5695,0.9195,2.2944,0.3658,2.7451,1.2282,0.9494,0.4965,0.9694,0.0495,0.2528,0.1480,1.2008,1.6504,1.0521,2.2540,0.6607,0.9660,0.9386,1.1190,0.0175,0.1400,0.1192,0.0234,0.5767,1.0964,0.5968,0.6593,0.4380,0.0042,0.5655,0.4967,0.4885,2.2523,0.0703,0.4344,0.0658,1.8616,0.7197,0.0741,0.0917
1978,0.8258,1.0027,0.6630,4.1187,0.3443,0.0483,0.1344,1.9528,1.1314,3.1454,0.4876,3.6435,1.8404,1.3124,0.7085,1.2297,0.0603,0.2607,0.1346,1.6416,2.2166,1.3948,2.5823,0.9714,1.1801,1.3993,1.5504,0.0231,0.1693,0.1509,0.0334,0.7797,1.5997,0.7997,0.8369,0.5903,0.0051,0.5878,0.7029,0.5754,2.6188,0.0991,0.5507,0.0617,2.6354,0.9860,0.0953,0.1207
1979,1.0194,1.2522,0.8076,5.3950,0.4717,0.0475,0.1537,2.4221,1.3530,3.8501,0.6037,4.6837,2.2257,1.5876,0.9057,1.6130,0.0718,0.3407,0.1752,1.9271,2.9668,1.7175,3.6074,1.2923,1.4698,1.6227,1.9565,0.0206,0.1827,0.1752,0.0384,0.8600,2.1088,0.8733,0.9265,0.7215,0.0051,0.7466,0.8565,0.8384,3.2441,0.1029,0.6586,0.0749,3.3797,1.2391,0.1125,0.1324
